response_id,consent,start_date,end_date,recorded_date,progress,finished,list,item,block,sensibility,type,direction,correct_response,duration_in_seconds,external_reference,sender,response,response_action,ended_on,duration,phase,concreteness,text,correct,congruency
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,15,1,sensible,transfer,towards,s,155,NA,sentence_screen,s,keypress(s),response,107.19999999999709,exp,abstract,Sierra transferred responsibility to you.,TRUE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,33,1,sensible,transfer,towards,s,155,NA,sentence_screen,s,keypress(s),response,76.52000000000407,exp,concrete,Jesse-Reese slipped you a note.,TRUE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,31,1,sensible,transfer,towards,s,155,NA,sentence_screen,s,keypress(s),response,83.11999999999534,exp,concrete,Regan poured you some water.,TRUE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,1,2,sensible,transfer,towards,w,155,NA,sentence_screen,w,keypress(w),response,105.61999999999534,exp,abstract,Hakeema sold the land to you.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,2,2,sensible,transfer,away,w,155,NA,sentence_screen,s,keypress(s),response,40.80000000000291,exp,abstract,You dedicated the song to Brittany.,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,30,2,sensible,transfer,away,w,155,NA,sentence_screen,s,keypress(s),response,141.3000000000029,exp,concrete,You shot Breanna the rubber band.,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,27,2,sensible,transfer,towards,w,155,NA,sentence_screen,s,keypress(s),response,116.97999999999593,exp,concrete,Chantelle dealt the cards to you.,FALSE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,29,2,sensible,transfer,towards,w,155,NA,sentence_screen,s,keypress(s),response,64.91999999999825,exp,concrete,Nathaniel donated money to you.,FALSE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,23,2,sensible,transfer,towards,w,155,NA,sentence_screen,s,keypress(s),response,88.91999999999825,exp,concrete,Shenandoah kicked you the soccer ball.,FALSE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,6,2,sensible,transfer,away,w,155,NA,sentence_screen,s,keypress(s),response,95.55999999999767,exp,abstract,You gave Naren some writing tips.,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,26,2,sensible,transfer,away,w,155,NA,sentence_screen,w,keypress(w),response,125.33999999999651,exp,concrete,You handed Marcus the notebook.,TRUE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,3,2,sensible,transfer,towards,w,155,NA,sentence_screen,w,keypress(w),response,134.38000000000466,exp,abstract,Hoc sang you a song.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,5,2,sensible,transfer,towards,w,155,NA,sentence_screen,w,keypress(w),response,59.080000000001746,exp,abstract,Paul paid tribute to you.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,22,2,sensible,transfer,away,w,155,NA,sentence_screen,w,keypress(w),response,63.179999999993015,exp,concrete,You awarded a medal to Maryum.,TRUE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,8,2,sensible,transfer,away,w,155,NA,sentence_screen,s,keypress(s),response,100.20000000001164,exp,abstract,You lavished Prem with praise.,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,25,2,sensible,transfer,towards,w,155,NA,sentence_screen,s,keypress(s),response,122.27999999999884,exp,concrete,Brittany slid you the cafeteria tray.,FALSE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,24,2,sensible,transfer,away,w,155,NA,sentence_screen,s,keypress(s),response,4.380000000004657,exp,concrete,You bought Maazina ice cream.,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,9,2,sensible,transfer,towards,w,155,NA,sentence_screen,w,keypress(w),response,31.95999999999185,exp,abstract,Catherine complained to you.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,4,2,sensible,transfer,away,w,155,NA,sentence_screen,w,keypress(w),response,103.85999999998603,exp,abstract,You pitched Stephanie the idea.,TRUE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,10,2,sensible,transfer,away,w,155,NA,sentence_screen,w,keypress(w),response,30.85999999998603,exp,abstract,You devoted your time to Kimberly.,TRUE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,28,2,sensible,transfer,away,w,155,NA,sentence_screen,s,keypress(s),response,42.88000000000466,exp,concrete,You forked over the cash to Tyler,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,21,2,sensible,transfer,towards,w,155,NA,sentence_screen,w,keypress(w),response,126.88000000000466,exp,concrete,J'Rita threw you a pen.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,7,2,sensible,transfer,towards,w,155,NA,sentence_screen,w,keypress(w),response,113.98000000001048,exp,abstract,Yushan confessed a secret to you.,TRUE,incongruent
